"Save And Continue Edit","Enregistrer et continuer l'édition"
"Domain Information","Information du domaine"
"See the products","Voir les produits"
"Our domains","Nos domaines"
"products","produits"
"product","produit"
"Products :","Produits :"
"See the products","Voir le produit"
